describe,evaluate,introduce,movie_name,serial_number,star
去除成见，需要勇气。,1183670人评价,"导演: 彼得·法雷里 Peter Farrelly 主演: 维果·莫腾森 Viggo Mortensen /...,2018 / 美国 / 剧情 喜剧 传记",绿皮书,64,8.9
在时间之河里感受溺水之苦。,754785人评价,"导演: 大卫·芬奇 David Fincher 主演: 凯特·布兰切特 Cate Blanchett / ...,2008 / 美国 / 剧情 爱情 奇幻",本杰明·巴顿奇事,65,8.9
自由万岁。,453174人评价,"导演: 米洛斯·福尔曼 Miloš Forman 主演: 杰克·尼科尔森 Jack Nichols...,1975 / 美国 / 剧情",飞越疯人院,66,9.1
你以为你以为的就是你以为的。,913312人评价,"导演: 奥里奥尔·保罗 Oriol Paulo 主演: 马里奥·卡萨斯 Mario Casas / 阿...,2016 / 西班牙 / 剧情 犯罪 悬疑 惊悚",看不见的客人,67,8.8
如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。,324984人评价,"导演: 阿兰·葛斯彭纳 Alain Gsponer 主演: 阿努克·斯特芬 Anuk Steffen /...,2015 / 德国 瑞士 南非 / 剧情 冒险 家庭",海蒂和爷爷,68,9.2
美丽无罪。,749693人评价,"导演: 朱塞佩·托纳多雷 Giuseppe Tornatore 主演: 莫妮卡·贝鲁奇 Monica ...,2000 / 意大利 美国 / 剧情 战争 情色",西西里的美丽传说,69,8.9
美利坚精神输出大片No1.,495796人评价,"导演: 史蒂文·斯皮尔伯格 Steven Spielberg 主演: 汤姆·汉克斯 Tom Hanks...,1998 / 美国 / 剧情 历史 战争",拯救大兵瑞恩,70,9.0
奔跑的孩子是天使。,309877人评价,"导演: 马基德·马基迪 Majid Majidi 主演: 法拉赫阿米尔·哈什米安 Amir Fa...,1997 / 伊朗 / 剧情 儿童 家庭",小鞋子,71,9.2
尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,385966人评价,"导演: 马克·赫尔曼 Mark Herman 主演: 阿萨·巴特菲尔德 Asa Butterfield ...,2008 / 英国 美国 / 剧情 战争",穿条纹睡衣的男孩,72,9.1
暗恋的极致。,692568人评价,"导演: 岩井俊二 Shunji Iwai 主演: 中山美穗 Miho Nakayama / 丰川悦司 Ets...,1995 / 日本 / 剧情 爱情",情书,73,8.9
用音乐化解仇恨，让歌声串起美好。,457941人评价,"导演: 罗伯特·怀斯 Robert Wise 主演: 朱莉·安德鲁斯 Julie Andrews / 克...,1965 / 美国 / 剧情 传记 爱情 歌舞",音乐之声,74,9.0
海豚的微笑，是世界上最高明的伪装。,297854人评价,"导演: 路易·西霍尤斯 Louie Psihoyos 主演: Richard O'Barry / 路易·西霍...,2009 / 美国 / 纪录片",海豚湾,75,9.3
往事如烟，无处祭奠。,320958人评价,"导演: 赛尔乔·莱翁内 Sergio Leone 主演: 罗伯特·德尼罗 Robert De Niro ...,1984 / 美国 意大利 / 犯罪 剧情",美国往事,76,9.2
孪生蝙蝠侠大战克隆金刚狼。,660952人评价,"导演: 克里斯托弗·诺兰 Christopher Nolan 主演: 休·杰克曼 Hugh Jackman...,2006 / 英国 美国 / 剧情 悬疑 惊悚",致命魔术,77,8.9
安东尼·霍普金斯的顶级表演。,650326人评价,"导演: 乔纳森·戴米 Jonathan Demme 主演: 朱迪·福斯特 Jodie Foster / 安...,1991 / 美国 / 剧情 犯罪 惊悚",沉默的羔羊,78,8.9
故事的高级讲法。,638317人评价,"导演: 昆汀·塔伦蒂诺 Quentin Tarantino 主演: 约翰·特拉沃尔塔 John Tra...,1994 / 美国 / 剧情 喜剧 犯罪",低俗小说,79,8.9
昔日翩翩少年，今日大腹便便。,722674人评价,"导演: Martin Scorsese 主演: 莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ...,2010 / 美国 / 剧情 悬疑 惊悚",禁闭岛,80,8.8
人的命运被自己瞬间的抉择改变。,715447人评价,"导演: 埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber 主...,2004 / 美国 加拿大 / 剧情 悬疑 科幻 惊悚",蝴蝶效应,81,8.8
警察抓小偷，老鼠玩死猫。,747276人评价,"导演: 大卫·芬奇 David Fincher 主演: 摩根·弗里曼 Morgan Freeman / 布...,1995 / 美国 / 剧情 犯罪 悬疑 惊悚",七宗罪,82,8.8
人生中应该拥有这样的一段豁然开朗。,537902人评价,"导演: 格斯·范·桑特 Gus Van Sant 主演: 马特·达蒙 Matt Damon / 罗宾·...,1997 / 美国 / 剧情",心灵捕手,83,8.9
小清新的故事里注入了大历史的情怀。,679279人评价,"导演: 韦斯·安德森 Wes Anderson 主演: 拉尔夫·费因斯 Ralph Fiennes / ...,2014 / 美国 德国 英国 / 剧情 喜剧 冒险",布达佩斯大饭店,84,8.9
爱情纠缠，男女一致。,480071人评价,"导演: 王家卫 Kar Wai Wong 主演: 张国荣 Leslie Cheung / 梁朝伟 Tony Leu...,1997 / 中国香港 日本 韩国 / 剧情 爱情 同性",春光乍泄,85,8.9
以戏谑来戏谑戏谑。,569517人评价,"导演: 中岛哲也 Tetsuya Nakashima 主演: 中谷美纪 Miki Nakatani / 瑛太 E...,2006 / 日本 / 剧情 歌舞",被嫌弃的松子的一生,86,8.9
大时代中的人生，小人物的悲喜。,217822人评价,"导演: 查理·卓别林 Charles Chaplin 主演: 查理·卓别林 Charles Chaplin ...,1936 / 美国 / 剧情 喜剧 爱情",摩登时代,87,9.3
绝对意义上的美轮美奂。,1011737人评价,"导演: 詹姆斯·卡梅隆 James Cameron 主演: 萨姆·沃辛顿 Sam Worthington ...,2009 / 美国 英国 / 动作 科幻 冒险",阿凡达,88,8.7
10年的完美句点。,588272人评价,"导演: 大卫·叶茨 David Yates 主演: 丹尼尔·雷德克里夫 Daniel Radcliffe...,2011 / 美国 英国 / 奇幻 冒险",哈利·波特与死亡圣器(下),89,8.9
我是一个演员。,727205人评价,"导演: 周星驰 Stephen Chow / 李力持 Lik-Chi Lee 主演: 周星驰 Stephen Ch...,1999 / 中国香港 / 喜剧 剧情 爱情",喜剧之王,90,8.8
浪漫忧郁的成人童话。,851825人评价,"导演: 蒂姆·波顿 Tim Burton 主演: 约翰尼·德普 Johnny Depp / 薇诺娜·...,1990 / 美国 / 剧情 奇幻 爱情",剪刀手爱德华,91,8.7
史诗大片的典范。,467705人评价,"导演: 梅尔·吉布森 Mel Gibson 主演: 梅尔·吉布森 Mel Gibson / 苏菲·玛...,1995 / 美国 / 动作 传记 剧情 历史 战争",勇敢的心,92,8.9
最不可能的那个人永远是最可能的。,609930人评价,"导演: 詹姆斯·曼高德 James Mangold 主演: 约翰·库萨克 John Cusack / 雷...,2003 / 美国 / 剧情 悬疑 惊悚",致命ID,93,8.8
约翰尼·德普的独角戏。,675039人评价,"导演: 戈尔·维宾斯基 Gore Verbinski 主演: 约翰尼·德普 Johnny Depp / ...,2003 / 美国 / 动作 冒险 奇幻",加勒比海盗,94,8.8
